reason,super_reasons,museum_id,has_collection
financial - costs - low revenue,insufficient revenue?,mm.New.58,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.386,True
loss of premises - change of use,premises repurposed,mm.ace.399,True
building - unsuitable; building - condition of building - deterioration,premises unsuitable; deterioration,mm.domus.SE456,True
life events - retirement - retirement of staff,staff retired from museum work,mm.musa.043,True
financial - funding cut - mod funding cut; strategic closure - amalgamation,mod funding cut; amalgamation,mm.domus.YH001,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.224,True
strategic closure - amalgamation,amalgamation,mm.domus.SC009,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.domus.WM047,True
building - condition of building - damp; other - collection not insured,damp; collection not insured,mm.misc.004,True
low visitor numbers; financial - costs,too few visitors; excessive costs,mm.wiki.158,True
financial - funding cut - local authority funding cut; low visitor numbers,local authority funding cuts? ; too few visitors,mm.domus.SE009,True
strategic closure - amalgamation,amalgamation,mm.domus.SC012,True
financial - costs,unaffordable,mm.aim.0150,True
strategic closure - amalgamation,amalgamation,mm.domus.SC010,True
loss of premises; financial - costs; dispute - unable to agree lease terms,loss of premises; rent increase; unable to agree lease terms,mm.aim.0456,True
dispute - disagreement,trustee disagreement,mm.domus.SW078,True
building,building problems,mm.musa.008,True
financial - funding cut - local authority funding cut,local authority funding cuts,mm.wiki.279,True
strategic closure - replacement museum,replacement museum,mm.domus.SC105,True
financial - insolvency,insolvency,mm.domus.NW190,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SC229,True
low visitor numbers; building - unsuitable; other,too few visitors; unsuitable premises; conservation issues,mm.wiki.434,True
building - unsuitable; building - condition of building - deterioration,unsuitable premises; building unstable,mm.wiki.293,True
loss of premises,loss of premises,mm.domus.SW108,True
strategic closure - replacement museum,replacement museum,mm.domus.EM054,True
life events - retirement - retirement of owner,owner(s) retired from museum work,mm.wiki.047,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.SE489,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.domus.NW122,True
low visitor numbers,too few visitors,mm.domus.NE007,True
financial - funding cut - local authority funding cut,local authority funding cut,mm.misc.214,True
